Excluded due to y_range or header_y_range: {'content': '403', 'polygon': [5.2853, 0.7501, 5.4987, 0.7535, 5.4953, 0.8735, 5.2853, 0.8735], 'spans': [{'offset': 13902, 'length': 3}]}
Excluded due to y_range or header_y_range: {'content': 'Original from', 'polygon': [4.2816, 9.465, 4.7884, 9.465, 4.7884, 9.575, 4.2816, 9.575], 'spans': [{'offset': 17157, 'length': 13}]}
Excluded due to y_range or header_y_range: {'content': 'UNIVERSITY OF CALIFORNIA', 'polygon': [3.8681, 9.585, 5.1986, 9.585, 5.1986, 9.6817, 3.8681, 9.6817], 'spans': [{'offset': 17171, 'length': 24}]}
Excluded due to y_range or header_y_range: {'content': 'Willowbridge and Uxbridge HOUSE.]', 'polygon': [1.2102, 0.7801, 3.5673, 0.7768, 3.5673, 0.9168, 1.2102, 0.9201], 'spans': [{'offset': 20738, 'length': 33}]}
Excluded due to y_range or header_y_range: {'content': '404', 'polygon': [0.8302, 0.7901, 1.0702, 0.7868, 1.0702, 0.9068, 0.8302, 0.9068], 'spans': [{'offset': 20734, 'length': 3}]}
Excluded due to y_range or header_y_range: {'content': 'Generated on 2024-02-03 07:27 GMT / https://hdl.handle.net/2027/uc1.32106019788238', 'polygon': [0.0167, 9.6344, 0.0167, 4.9406, 0.1134, 4.9406, 0.1134, 9.6344], 'spans': [{'offset': 26708, 'length': 82}]}
Excluded due to y_range or header_y_range: {'content': 'Creative Commons Zero (CC0) / http://www.hathitrust.org/access_use#cc-zero', 'polygon': [0.1267, 9.6378, 0.13, 5.3906, 0.2334, 5.3906, 0.23, 9.6378], 'spans': [{'offset': 26791, 'length': 74}]}
Excluded due to y_range or header_y_range: {'content': 'Google', 'polygon': [1.3769, 9.5177, 2.0904, 9.5177, 2.0904, 9.7444, 1.3769, 9.7411], 'spans': [{'offset': 26882, 'length': 6}]}
Excluded due to y_range or header_y_range: {'content': 'Digitized by', 'polygon': [0.9268, 9.5944, 1.3803, 9.6011, 1.3769, 9.6944, 0.9268, 9.6911], 'spans': [{'offset': 26869, 'length': 12}]}
Excluded due to y_range or header_y_range: {'content': '[JULY 17', 'polygon': [5.1343, 0.7768, 5.6277, 0.7701, 5.6277, 0.9134, 5.1343, 0.9201], 'spans': [{'offset': 20790, 'length': 8}]}
Excluded due to y_range or header_y_range: {'content': 'Railway-stations.', 'polygon': [3.8307, 0.7801, 4.8442, 0.7834, 4.8442, 0.9134, 3.8307, 0.9101], 'spans': [{'offset': 20772, 'length': 17}]}
Excluded due to y_range or header_y_range: {'content': 'Original from', 'polygon': [4.2675, 9.5478, 4.7675, 9.5478, 4.7675, 9.6411, 4.2675, 9.6378], 'spans': [{'offset': 26889, 'length': 13}]}
Excluded due to y_range or header_y_range: {'content': 'UNIVERSITY OF CALIFORNIA', 'polygon': [3.8507, 9.6544, 5.1776, 9.6544, 5.1776, 9.7544, 3.8507, 9.7544], 'spans': [{'offset': 26903, 'length': 24}]}
